date,confirmed,deaths,recovered,confirmed_diff,deaths_diff,recovered_diff,last_update,active,active_diff,fatality_rate,iso
2023-03-09,12271,63,0,0,0,0,2023-03-10 04:21:03,12208,0,0.0051,FRA
2023-03-09,3427,7,0,0,0,0,2023-03-10 04:21:03,3420,0,0.002,FRA
2023-03-09,38618509,161512,0,6308,11,0,2023-03-10 04:21:03,38456997,6297,0.0042,FRA
2023-03-09,48981,306,0,0,0,0,2023-03-10 04:21:03,48675,0,0.0062,GAB
2023-03-09,12598,372,0,0,0,0,2023-03-10 04:21:03,12226,0,0.0295,GMB
2023-03-09,1827537,16971,0,0,0,0,2023-03-10 04:21:03,1810566,0,0.0093,GEO
2023-03-09,5063979,19297,0,771,14,0,2023-03-10 04:21:03,5044682,757,0.0038,DEU
2023-03-09,6741523,28680,0,1409,27,0,2023-03-10 04:21:03,6712843,1382,0.0043,DEU
2023-03-09,1430661,5564,0,449,2,0,2023-03-10 04:21:03,1425097,447,0.0039,DEU
2023-03-09,1113946,6506,0,197,4,0,2023-03-10 04:21:03,1107440,193,0.0058,DEU
2023-03-09,303612,968,0,37,1,0,2023-03-10 04:21:03,302644,36,0.0032,DEU
2023-03-09,807013,3614,0,0,0,0,2023-03-10 04:21:03,803399,0,0.0045,DEU
2023-03-09,2928587,12436,0,602,8,0,2023-03-10 04:21:03,2916151,594,0.0042,DEU
2023-03-09,711570,2770,0,205,5,0,2023-03-10 04:21:03,708800,200,0.0039,DEU
2023-03-09,3860773,13718,0,787,29,0,2023-03-10 04:21:03,3847055,758,0.0036,DEU
2023-03-09,8048396,31400,0,1970,16,0,2023-03-10 04:21:03,8016996,1954,0.0039,DEU
2023-03-09,1769913,6971,0,426,9,0,2023-03-10 04:21:03,1762942,417,0.0039,DEU
2023-03-09,492792,2132,0,151,1,0,2023-03-10 04:21:03,490660,150,0.0043,DEU
2023-03-09,1955828,16814,0,277,3,0,2023-03-10 04:21:03,1939014,274,0.0086,DEU
2023-03-09,961147,6286,0,207,3,0,2023-03-10 04:21:03,954861,204,0.0065,DEU
2023-03-09,1175406,3481,0,175,4,0,2023-03-10 04:21:03,1171925,171,0.003,DEU
2023-03-09,883914,8298,0,166,1,0,2023-03-10 04:21:03,875616,165,0.0094,DEU
2023-03-09,0,0,0,0,0,0,2023-03-10 04:21:03,0,0,0.0,DEU
2023-03-09,171229,1462,0,0,0,0,2023-03-10 04:21:03,169767,0,0.0085,GHA
2023-03-09,5548487,34779,0,0,0,0,2023-03-10 04:21:03,5513708,0,0.0063,GRC
2023-03-09,19680,238,0,0,0,0,2023-03-10 04:21:03,19442,0,0.0121,GRD
2023-03-09,1238247,20182,0,198,0,0,2023-03-10 04:21:03,1218065,198,0.0163,GTM
2023-03-09,38267,467,0,0,0,0,2023-03-10 04:21:03,37800,0,0.0122,GIN
2023-03-09,8960,176,0,0,0,0,2023-03-10 04:21:03,8784,0,0.0196,GNB
2023-03-09,73075,1298,0,0,0,0,2023-03-10 04:21:03,71777,0,0.0178,GUY
2023-03-09,34202,860,0,0,0,0,2023-03-10 04:21:03,33342,0,0.0251,HTI
2023-03-09,29,0,0,0,0,0,2023-03-10 04:21:03,29,0,0.0,VAT
2023-03-09,472250,11111,0,0,0,0,2023-03-10 04:21:03,461139,0,0.0235,HND
2023-03-09,2196804,48762,0,0,0,0,2023-03-10 04:21:03,2148042,0,0.0222,HUN
2023-03-09,209137,263,0,0,0,0,2023-03-10 04:21:03,208874,0,0.0013,ISL
2023-03-09,10751,129,0,0,0,0,2023-03-10 04:21:03,10622,0,0.012,IND
2023-03-09,2339096,14733,0,1,0,0,2023-03-10 04:21:03,2324363,1,0.0063,IND
2023-03-09,66891,296,0,0,0,0,2023-03-10 04:21:03,66595,0,0.0044,IND
2023-03-09,746100,8035,0,0,0,0,2023-03-10 04:21:03,738065,0,0.0108,IND
2023-03-09,851427,12303,0,1,0,0,2023-03-10 04:21:03,839124,1,0.0144,IND
2023-03-09,99370,1182,0,0,0,0,2023-03-10 04:21:03,98188,0,0.0119,IND
2023-03-09,1177804,14146,0,3,0,0,2023-03-10 04:21:03,1163658,3,0.012,IND
2023-03-09,11591,4,0,0,0,0,2023-03-10 04:21:03,11587,0,0.0003,IND
2023-03-09,2007605,26523,0,4,0,0,2023-03-10 04:21:03,1981082,4,0.0132,IND
2023-03-09,259167,4013,0,2,0,0,2023-03-10 04:21:03,255154,2,0.0155,IND
2023-03-09,1277848,11046,0,30,0,0,2023-03-10 04:21:03,1266802,30,0.0086,IND
2023-03-09,1056770,10714,0,7,0,0,2023-03-10 04:21:03,1046056,7,0.0101,IND
2023-03-09,312820,4213,0,20,0,0,2023-03-10 04:21:03,308607,20,0.0135,IND
2023-03-09,479513,4785,0,3,0,0,2023-03-10 04:21:03,474728,3,0.01,IND
2023-03-09,442579,5331,0,0,0,0,2023-03-10 04:21:03,437248,0,0.012,IND
2023-03-09,4074536,40312,0,89,1,0,2023-03-10 04:21:03,4034224,88,0.0099,IND
2023-03-09,6831358,71589,0,87,1,0,2023-03-10 04:21:03,6759769,86,0.0105,IND
2023-03-09,29425,231,0,0,0,0,2023-03-10 04:21:03,29194,0,0.0079,IND
2023-03-09,11415,52,0,0,0,0,2023-03-10 04:21:03,11363,0,0.0046,IND
2023-03-09,1054978,10777,0,8,0,0,2023-03-10 04:21:03,1044201,8,0.0102,IND
2023-03-09,8138129,148424,0,144,1,0,2023-03-10 04:21:03,7989705,143,0.0182,IND
2023-03-09,139924,2149,0,0,0,0,2023-03-10 04:21:03,137775,0,0.0154,IND
2023-03-09,96788,1625,0,0,0,0,2023-03-10 04:21:03,95163,0,0.0168,IND
2023-03-09,238969,726,0,1,0,0,2023-03-10 04:21:03,238243,1,0.003,IND
2023-03-09,35988,782,0,0,0,0,2023-03-10 04:21:03,35206,0,0.0217,IND
2023-03-09,1336717,9205,0,1,0,0,2023-03-10 04:21:03,1327512,1,0.0069,IND
2023-03-09,175872,1975,0,9,0,0,2023-03-10 04:21:03,173897,9,0.0112,IND
2023-03-09,785724,19289,0,1239,0,0,2023-03-10 04:21:03,766435,1239,0.0245,IND
2023-03-09,1315637,9656,0,7,1,0,2023-03-10 04:21:03,1305981,6,0.0073,IND
2023-03-09,44325,500,0,0,0,0,2023-03-10 04:21:03,43825,0,0.0113,IND
2023-03-09,3595123,38049,0,66,0,0,2023-03-10 04:21:03,3557074,66,0.0106,IND
2023-03-09,841897,4111,0,67,0,0,2023-03-10 04:21:03,837786,67,0.0049,IND
2023-03-09,108034,940,0,0,0,0,2023-03-10 04:21:03,107094,0,0.0087,IND
2023-03-09,0,0,0,0,0,0,2023-03-10 04:21:03,0,0,0.0,IND
2023-03-09,2128222,23648,0,1,0,0,2023-03-10 04:21:03,2104574,1,0.0111,IND
2023-03-09,449488,7753,0,1,0,0,2023-03-10 04:21:03,441735,1,0.0172,IND
2023-03-09,2118857,21533,0,4,0,0,2023-03-10 04:21:03,2097324,4,0.0102,IND
2023-03-09,6738225,160941,0,307,4,0,2023-03-10 04:21:03,6577284,303,0.0239,IDN
2023-03-09,7572311,144933,0,315,11,0,2023-03-10 04:21:03,7427378,304,0.0191,IRN
